"denom","timestamp","price","marketCap","dayVolume"
"uosmo",1660276800000,0,0,0
"uosmo",1660280400000,0,0,0
"uosmo",1660284000000,0,0,0
"uosmo",1660287600000,0,0,0
"uosmo",1660291200000,0,0,0
"uosmo",1660294800000,0,0,0
"uosmo",1660298400000,0,0,0
"uosmo",1660302000000,0,0,0
"uosmo",1660305600000,0,0,0
"uosmo",1660309200000,0,0,0
"uosmo",1660312800000,0,0,0
"uosmo",1660316400000,0,0,0
"uosmo",1660320000000,0,0,0
"uosmo",1660323600000,0,0,0
"uosmo",1660327200000,0,0,0
"uosmo",1660330800000,0,0,0
"uosmo",1660334400000,0,0,0
"uosmo",1660338000000,0,0,0
"uosmo",1660341600000,0,0,0
"uosmo",1660345200000,0,0,0
"uosmo",1660348800000,0,0,0
"uosmo",1660352400000,0,0,0
"uosmo",1660356000000,0,0,0
"uosmo",1660359600000,0,0,0
"uosmo",1660363200000,0,0,0
"uosmo",1660366800000,0,0,0
"uosmo",1660370400000,0,0,0
"uosmo",1660374000000,0,0,0
"uosmo",1660377600000,0,0,0
"uosmo",1660381200000,0,0,0
"uosmo",1660384800000,0,0,0
"uosmo",1660388400000,0,0,0
"uosmo",1660392000000,0,0,0
"uosmo",1660395600000,0,0,0
"uosmo",1660399200000,0,0,0
"uosmo",1660402800000,0,0,0
"uosmo",1660406400000,0,0,0
"uosmo",1660410000000,0,0,0
"uosmo",1660413600000,0,0,0
"uosmo",1660417200000,0,0,0
"uosmo",1660420800000,0,0,0
"uosmo",1660424400000,0,0,0
"uosmo",1660428000000,0,0,0
"uosmo",1660431600000,0,0,0
"uosmo",1660435200000,0,0,0
"uosmo",1660438800000,0,0,0
"uosmo",1660442400000,0,0,0
"uosmo",1660446000000,0,0,0
"uosmo",1660449600000,0,0,0
"uosmo",1660453200000,0,0,0
"uosmo",1660456800000,0,0,0
"uosmo",1660460400000,0,0,0
"uosmo",1660464000000,0,0,0
"uosmo",1660467600000,0,0,0
